Origin,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,4399,4575,5056,6046,6754,7922,9115,11371,12957,14616,15242,15535,14419,3470,3147,3015,2727,2659,2609,2700,2704
Angola,113,110,96,113,137,161,140,296,433,517,700,892,836,1085,1080,1067,1030,893,753,650,445
Albania,228,239,202,215,382,599,625,998,1186,1226,1273,1403,1327,2509,2496,2340,2166,1900,1764,1706,1530
United Arab Emirates,0,0,0,0,0,0,7,7,2,2,6,9,10,13,28,30,30,30,28,28,31
Andorra,1,1,1,85,56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,364,247,130,89,87,60,87,144,190,196,226,297,271,421,410,394,363,312,258,239,191
Armenia,30,43,68,1,1,94,94,102,76,79,77,83,110,171,172,173,179,192,200,190,189
Antigua and Barbuda,0,0,0,0,0,1,0,4,5,5,7,13,18,24,25,27,28,27,40,45,48
Australia,2,1,1,1,0,0,0,0,0,0,1,2,3,2,2,2,3,3,6,6,6
Austria,60,49,48,42,41,32,19,14,8,4,1,0,0,2,2,1,0,0,0,0,0
Azerbaijan,40,56,64,103,99,118,102,153,222,258,376,585,652,727,719,723,714,683,598,550,455
Burundi,476,637,778,900,941,768,890,1159,1274,1524,1862,2064,2148,1498,1650,1827,1968,2148,2315,2278,2114
Belgium,2,3,5,9,9,10,10,6,2,3,1,1,1,2,7,12,16,17,17,16,16
Benin,15,15,9,7,7,9,6,12,13,24,26,39,41,53,54,54,61,56,56,46,50
Burkina Faso,6,9,10,8,11,16,19,24,24,30,51,72,95,115,123,126,140,149,141,146,136
Bangladesh,1363,1639,1892,1941,1864,1567,2007,2185,1612,1235,1174,1352,1575,3214,2768,2445,2213,2076,1917,1764,1483
Bulgaria,1645,1053,499,420,455,491,588,708,742,711,693,794,835,1552,1414,1238,1119,1011,928,813,668
Bahrain,15,11,3,4,9,9,6,6,6,5,3,1,2,7,8,6,5,5,5,6,10
Bahamas,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,3,10,15,23,26
Bosnia and Herzegovina,6234,12171,17069,20661,22580,20770,15494,11156,7666,4112,1435,794,274,132,119,110,104,93,91,85,83
Belarus,30,36,39,39,36,34,36,70,90,127,158,199,201,293,307,312,327,311,300,268,227
Belize,8,8,3,0,0,0,0,0,0,0,1,1,1,1,4,5,5,5,6,7,9
Bermuda,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia (Plurinational State of),82,72,60,36,36,30,28,40,31,46,61,79,107,149,162,160,165,159,160,152,126
Brazil,27,24,20,20,18,19,32,38,40,36,30,79,110,165,176,168,168,169,175,177,172
Barbados,3,2,1,2,2,1,5,6,6,8,4,8,13,25,27,28,29,42,50,63,82
Brunei Darussalam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan,4,6,6,5,4,9,6,9,7,8,4,4,10,2,8,10,18,18,19,22,22
Botswana,17,22,22,16,16,10,3,2,2,2,2,2,3,6,14,22,38,69,109,149,218
Central African Rep.,5,5,6,10,17,17,13,11,15,17,12,43,55,60,60,58,60,63,63,64,67
Switzerland,8,27,32,54,76,90,69,60,38,17,0,0,3,3,9,9,10,10,11,11,11
Chile,922,501,309,249,245,249,224,253,212,169,131,94,91,290,250,211,162,134,124,130,124
China,2067,1597,1132,1023,1106,1381,1903,2667,3771,5722,8071,9953,11072,14970,15585,16075,16451,17024,16813,15344,13231
C̫te d'Ivoire,32,50,60,77,116,132,102,116,135,146,161,204,236,401,424,425,421,427,420,423,431
Cameroon,58,89,93,104,156,165,139,205,230,247,277,334,379,660,680,708,746,798,864,932,985
Dem. Rep. of the Congo,1560,1564,1777,1892,2306,2699,3142,4033,4387,4706,5069,5124,5212,5997,5687,5284,4725,4381,4211,3874,3544
Congo,16,19,18,40,123,197,1,48,86,154,272,365,400,308,326,331,348,312,287,265,229
Colombia,101,112,132,151,235,450,1077,2339,4051,6689,9441,13511,17378,11843,13080,14300,16054,17243,17563,17381,16428
Comoros,3,4,4,4,7,7,1,3,4,4,4,5,3,7,7,7,6,4,4,4,0
Cabo Verde,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0
Costa Rica,217,204,131,81,45,68,50,81,90,86,120,149,198,315,309,314,320,289,282,267,229
Cuba,722,696,686,648,641,655,812,1025,1020,1005,958,964,969,2014,2041,1988,1821,1739,1708,1674,1618
Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,6,9,9,7,10,12,7,5,5,2,0,1,1,1,1,1,1,1,1,1,0
Czech Rep.,1535,394,152,49,775,895,625,679,717,696,388,151,113,796,776,489,275,237,222,238,254
Germany,441,376,390,401,614,1240,1125,988,895,663,17,18,28,41,73,81,80,84,89,90,87
Djibouti,55,57,56,75,134,271,238,301,312,318,261,195,163,431,429,364,275,246,233,289,310
Dominica,0,0,0,0,0,2,1,5,6,17,24,30,33,43,44,44,43,39,41,30,23
Denmark,11,18,34,33,28,25,21,3,2,2,2,0,0,3,3,3,6,6,6,6,6
Dominican Rep.,25,25,24,40,32,35,38,40,31,26,28,32,63,116,126,132,129,134,148,167,169
Algeria,557,905,1212,1641,2392,2607,2600,2877,2477,2030,1430,763,545,2806,2295,1580,877,628,513,443,346
Ecuador,111,130,139,127,135,111,121,130,125,113,106,106,145,261,256,264,226,229,216,216,208
Egypt,146,181,276,544,776,1084,1043,1254,1287,1291,1109,1208,1004,640,640,607,573,555,597,638,684
Eritrea,6,17,36,72,109,153,165,316,411,557,852,1197,1619,717,792,918,1136,1350,1547,1676,1750
Spain,42,29,51,50,52,49,44,14,8,6,3,1,2,6,9,15,13,14,16,20,22
Estonia,176,193,204,192,132,59,25,27,11,11,11,12,10,22,23,21,17,15,12,14,15
Ethiopia,7786,5673,3750,2543,1724,1405,1635,2034,2244,2873,3549,3986,4753,1652,1732,1742,1761,1928,2059,2163,2155
Finland,0,1,1,2,2,2,1,1,0,0,0,0,0,0,0,0,0,1,2,2,0
Fiji,38,28,17,20,23,19,13,33,173,313,433,455,458,515,523,528,542,527,395,273,157
France,20,14,34,39,40,37,49,32,23,29,23,16,18,43,46,40,36,35,40,36,36
Gabon,5,5,2,0,2,3,4,7,6,8,15,27,28,41,49,50,54,52,55,55,56
United Kingdom,106,65,41,39,38,29,32,27,27,22,21,29,32,59,61,57,57,64,69,69,63
Georgia,36,45,69,76,102,141,123,179,198,219,245,290,297,471,486,501,495,506,504,485,474
Ghana,973,751,535,323,281,208,303,333,247,207,204,241,259,495,444,418,379,370,356,361,352
Guinea,46,60,59,92,181,245,227,351,483,561,691,714,747,1173,1169,1152,1094,1018,914,839,700
Gambia,2,2,4,4,12,19,16,18,18,18,9,16,31,40,45,41,49,51,59,72,78
Guinea-Bissau,5,5,4,4,2,1,0,1,2,6,9,14,18,23,23,23,23,23,24,20,18
Equatorial Guinea,2,2,4,3,2,2,4,4,4,5,6,5,7,15,15,15,11,12,12,12,11
Greece,93,129,153,170,153,153,119,93,62,42,4,3,4,10,11,15,12,13,14,18,24
Grenada,3,6,10,11,19,35,23,53,73,76,98,151,199,293,305,325,325,303,292,304,294
Guatemala,3636,3052,2397,1753,1140,829,710,677,492,385,363,332,339,689,693,686,678,707,770,864,907
Guyana,69,59,47,29,28,37,22,36,39,49,129,311,407,537,569,591,602,626,638,640,563
"China, Hong Kong SAR",257,202,102,47,39,17,10,4,2,0,0,0,1,1,1,1,6,6,12,19,20
Honduras,692,497,370,279,243,212,241,270,219,177,166,164,188,452,455,467,492,538,596,679,808
Croatia,625,984,1485,2441,3502,4299,4426,4150,3258,2000,835,349,160,93,85,86,69,61,57,70,88
Haiti,1217,1145,1057,811,504,165,439,511,392,413,460,632,783,1295,1410,1662,2906,4963,6798,7872,8422
Hungary,1161,651,331,153,215,268,202,406,558,657,779,829,722,1183,1221,1158,1081,893,766,765,828
Indonesia,58,62,62,59,34,93,89,115,142,148,264,294,402,409,429,419,374,368,351,358,336
India,1124,1528,1868,2048,2296,2096,3196,3803,3807,3514,3589,3512,3750,7114,6718,6245,5954,5621,5287,4988,4292
Ireland,3,2,2,1,0,0,3,3,2,0,0,3,3,9,7,7,7,7,7,7,7
Iran (Islamic Rep. of),10281,8131,6677,6461,6467,6361,6319,7502,7228,6794,6508,5695,4978,6221,5200,4499,3819,3440,3212,3033,2834
Iraq,6690,7308,8157,7986,6584,5975,5798,6001,5737,5441,5402,4789,3990,1968,1865,1760,1730,1712,1745,1730,1643
Iceland,0,0,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel,732,794,828,806,671,322,264,281,137,104,177,292,440,645,622,636,622,646,673,687,628
Italy,139,114,103,101,64,37,31,24,20,14,3,5,3,8,11,13,13,13,15,17,16
Jamaica,4,6,10,12,12,18,22,37,48,55,77,158,197,267,303,337,348,408,504,621,733
Jordan,147,148,275,276,295,320,296,156,112,86,82,141,217,300,308,304,322,366,402,414,402
Japan,7,3,2,1,2,1,3,3,2,1,5,5,11,13,16,16,15,19,20,26,23
Kazakhstan,24,115,300,462,511,570,548,598,398,249,222,185,148,491,353,300,229,189,149,149,135
Kenya,492,453,440,479,504,510,445,398,347,332,343,474,567,760,820,849,882,942,996,1019,937
Kyrgyzstan,13,14,14,24,39,53,52,75,108,103,202,241,244,203,203,196,185,165,128,120,96
Cambodia,1520,822,495,283,126,82,64,72,61,57,78,82,105,182,179,174,161,174,176,186,162
Kiribati,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,3,3,0
Saint Kitts and Nevis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,7,10,12,15
Rep. of Korea,7,13,17,19,19,33,26,51,59,71,114,169,182,275,283,290,296,290,282,280,239
Kuwait,672,616,631,570,437,363,125,126,105,92,82,50,48,143,130,104,73,70,64,51,38
Lao People's Dem. Rep.,1620,1055,91,34,33,15,7,2,1,0,3,4,4,4,5,5,5,5,6,6,0
Lebanon,5298,3177,1274,932,723,596,548,653,560,521,510,591,684,1218,1190,1128,1133,1104,1104,1103,1024
Liberia,192,205,202,191,178,149,159,187,188,268,639,1151,1436,123,115,103,99,106,120,134,153
Libya,132,120,120,115,123,138,106,168,184,198,189,199,156,308,323,305,292,246,241,230,243
Saint Lucia,0,2,2,2,4,5,7,9,7,11,32,96,151,216,278,312,328,423,551,697,906
Sri Lanka,21501,17975,14868,11793,10218,9717,10591,13161,12873,12563,12062,11076,9877,21279,20442,19143,16967,15174,13705,12326,10745
Lesotho,0,0,2,2,2,2,2,0,0,0,0,0,0,1,1,5,5,5,5,5,6
Lithuania,37,43,40,26,23,22,10,17,20,25,45,76,92,115,117,113,114,109,103,108,91
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,78,81,97,110,102,75,36,42,38,40,42,39,35,76,71,67,51,47,44,55,68
"China, Macao SAR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,63,46,38,35,37,43,55,62,60,60,64,69,97,167,168,174,167,174,169,173,168
Rep. of Moldova,445,499,570,609,429,223,234,252,141,133,105,103,108,248,224,185,161,168,187,198,195
Madagascar,1,1,1,5,5,5,5,7,8,4,4,5,9,14,10,10,10,10,10,16,16
Maldives,0,0,0,0,2,2,2,2,2,0,0,0,0,1,1,1,1,1,1,1,0
Mexico,239,250,312,391,657,903,811,1108,1162,1195,1307,1807,2310,4281,4757,5000,5281,5574,5995,6512,6762
The former Yugoslav Republic of Macedonia,7,17,21,22,37,47,45,59,82,85,81,74,76,136,140,137,123,117,97,100,100
Mali,154,103,46,33,34,40,33,44,56,65,73,80,87,133,132,125,119,109,99,87,73
Malta,7,13,18,14,15,18,12,7,7,6,1,2,2,3,3,3,2,2,2,2,0
Myanmar,168,208,286,418,419,390,391,350,271,440,538,613,1429,205,235,257,265,277,276,283,264
Montenegro,,0,0,0,0,0,0,0,0,0,0,,0,2,2,2,2,3,14,18,19
Mongolia,1,1,1,1,1,8,4,12,14,24,34,40,48,87,101,108,113,119,127,127,130
Mozambique,16,21,11,10,9,6,3,3,3,3,0,0,1,5,6,5,6,6,6,6,6
Mauritania,16,22,24,24,28,26,15,15,20,30,69,129,229,231,254,268,284,292,299,294,265
Mauritius,1,1,1,0,0,0,0,0,1,1,4,5,6,6,6,7,7,7,6,7,0
Malawi,29,27,25,17,9,16,16,16,15,16,5,9,9,15,17,21,21,23,23,28,31
Malaysia,78,72,77,68,60,46,35,61,75,100,139,201,194,263,271,265,265,235,214,193,149
Namibia,1,1,1,0,1,3,0,0,0,0,0,5,12,15,20,22,26,31,38,106,207
Niger,2,4,5,8,10,11,9,11,15,18,15,23,37,58,61,56,57,71,69,81,84
Nigeria,459,492,561,692,861,868,852,1043,1056,986,1046,1413,1722,2911,2882,2962,3171,3608,3990,4441,4683
Nicaragua,967,541,361,311,295,236,192,210,160,145,107,75,71,238,211,172,132,119,138,132,141
Netherlands,75,81,92,72,52,24,14,4,3,2,3,4,4,12,23,27,29,34,34,34,38
Norway,2,1,,2,2,2,2,2,0,0,0,1,1,1,1,1,1,1,2,3,0
Nepal,3,5,9,16,19,39,28,38,52,83,116,178,319,513,730,809,863,986,1128,1212,1223
New Zealand,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,0
Oman,3,9,8,8,8,8,3,3,3,1,3,4,5,8,8,10,10,11,12,15,14
Pakistan,2721,2573,2315,1989,2266,2956,3893,5753,6960,7994,9662,10642,10888,15820,15798,15346,14526,13149,11605,10641,8613
Panama,143,102,83,44,29,16,21,25,15,8,14,19,26,43,45,44,45,45,47,48,40
Peru,1273,1266,1266,1084,846,735,778,993,951,962,1049,1335,1589,2522,2421,2303,2209,2048,1905,1757,1505
Philippines,248,268,259,159,105,47,23,33,35,60,96,131,177,235,274,294,300,310,322,321,301
Papua New Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland,27732,15690,5710,987,332,293,155,217,273,281,330,365,344,567,545,519,477,421,359,325,259
Puerto Rico,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dem. People's Rep. of Korea,2,1,1,,2,2,0,0,0,3,4,4,4,4,4,4,23,64,119,127,126
Portugal,25,23,12,6,4,5,7,7,4,4,2,3,3,8,15,12,12,12,12,12,10
Paraguay,39,35,30,9,6,4,5,6,2,3,8,12,25,30,31,36,40,44,48,47,43
Palestinian,0,0,0,0,0,0,26,41,55,97,173,312,396,498,528,537,584,636,674,682,634
Qatar,49,30,17,18,21,6,0,0,0,0,0,2,2,2,4,4,4,4,4,5,8
Romania,3085,1813,1113,817,642,558,572,730,695,715,711,697,654,1286,1203,1088,952,800,690,577,460
Russian Federation,2611,1613,1206,1254,1655,1657,1694,2196,1990,1994,2118,2073,1916,2960,2770,2612,2311,1931,1756,1527,1315
Rwanda,436,519,602,679,1001,1194,1118,1322,1390,1462,1310,1223,1226,1697,1680,1550,1494,1537,1654,1655,1647
Saudi Arabia,175,251,229,218,210,180,26,15,22,25,39,64,80,99,128,126,122,129,131,135,119
Sudan,2021,1992,2015,1952,2091,2215,2968,3692,4179,5141,6312,6230,6258,1915,1739,1615,1431,1238,1100,905,671
Senegal,14,16,37,50,62,69,58,45,42,46,50,74,98,149,159,172,172,177,183,197,216
Singapore,8,8,8,10,10,12,6,9,8,8,4,7,6,19,24,25,26,27,27,28,29
Solomon Islands,0,0,0,0,0,0,0,0,4,4,4,4,10,15,19,33,38,43,39,39,39
Sierra Leone,50,52,64,77,100,108,335,677,1037,1374,1668,1557,1323,254,258,254,233,221,206,187,158
El Salvador,11082,7261,3584,1720,800,616,621,636,514,442,468,399,459,758,849,889,912,1023,1122,1223,1301
Somalia,17817,14673,11422,8944,7098,5178,5159,5754,5545,5080,4894,4491,4507,7206,6209,5150,1,1,1,1,0
Serbia and Kosovo (S/RES/1244 (1999)),1552,1953,2315,2709,2899,2903,6632,7990,7494,7020,6472,2129,546,1159,1006,763,4149,3629,3459,3225,2821
Sao Tome and Principe,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,573,443,400,418,429
South Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suriname,13,14,12,9,7,3,0,0,1,2,2,2,3,3,3,6,10,10,9,8,8
Slovakia,6,7,7,7,12,10,8,13,16,17,19,12,11,31,35,35,28,24,22,30,39
Slovenia,15,23,37,70,84,76,69,56,23,7,1,4,3,6,10,9,9,9,9,9,9
Sweden,11,25,37,39,39,30,17,5,7,6,5,6,6,7,6,6,7,8,3,3,0
Swaziland,11,15,16,17,29,27,16,15,15,2,6,7,11,16,17,17,19,25,39,71,101
Seychelles,528,305,103,7,4,1,0,0,0,0,0,1,4,8,8,10,10,10,10,10,10
Syrian Arab Rep.,415,365,340,324,333,364,390,427,432,424,459,397,415,624,603,577,545,547,533,592,705
Turks and Caicos Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,34,46,52,70,215,379,295,377,423,440,398,350,340,745,771,708,617,568,543,519,474
Togo,57,65,74,99,97,98,118,169,173,194,242,265,259,280,281,282,274,262,251,248,224
Thailand,89,163,220,208,194,202,107,22,19,20,17,22,24,32,34,37,37,35,35,38,36
Tibetan,0,0,0,0,4,4,4,4,4,0,0,0,0,0,58,58,58,58,0,58,58
Tajikistan,1,1,3,8,104,123,113,124,122,29,15,91,113,34,40,45,44,43,50,54,59
Turkmenistan,0,0,0,0,3,7,1,7,7,7,6,39,51,21,22,23,23,17,18,21,22
Tonga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago,12,12,12,14,18,17,14,16,17,22,21,42,91,145,164,186,192,221,241,244,264
Tunisia,76,60,47,61,68,85,68,103,92,97,103,123,129,236,238,225,223,201,204,202,199
Turkey,536,558,578,536,545,667,765,1172,1651,2000,2632,3468,3474,4753,4691,4611,4465,4255,3838,3464,2863
United Rep. of Tanzania,33,33,28,21,23,35,24,58,126,236,342,413,456,546,561,569,568,560,513,421,320
Uganda,350,268,206,110,80,96,89,103,114,153,225,362,445,491,542,616,682,749,809,844,804
Ukraine,462,594,698,748,643,579,547,726,712,817,961,1100,1177,1911,1904,1914,1871,1788,1737,1605,1468
Uruguay,297,236,177,72,52,21,33,37,32,35,52,80,109,145,150,150,147,147,139,126,106
United States of America,354,233,130,57,30,19,148,191,176,167,232,567,976,1537,1746,2019,2637,3384,4045,4451,4687
Uzbekistan,26,50,63,77,81,106,108,129,123,133,165,276,346,227,238,243,247,259,274,273,271
Holy See (the),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines,7,7,13,13,24,36,48,67,81,105,181,279,386,644,748,847,941,1121,1305,1524,1723
Venezuela (Bolivarian Republic of),363,466,546,588,531,496,407,457,307,235,219,346,456,823,764,721,680,742,797,837,849
Viet Nam,14007,8853,5765,3565,1583,395,155,116,97,85,79,144,205,169,171,171,163,161,148,132,126
Vanuatu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samoa,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stateless,0,0,0,0,0,0,627,1624,1568,1654,1764,1891,1248,1828,1669,1677,1738,1737,1738,1708,1583
Various/Unknown,3255,2567,14185,12771,9602,16391,15452,758,1207,1005,1125,949,919,349,161,143,118,105,87,70,59
Yemen,79,90,130,160,183,165,168,207,204,169,144,183,180,364,331,286,274,266,240,251,239
South Africa,123,71,42,26,17,31,26,34,32,32,20,20,16,33,33,38,37,30,35,45,51
Zambia,15,17,32,46,52,52,50,42,17,10,9,24,28,36,39,43,52,53,56,60,60
Zimbabwe,25,20,16,16,14,14,7,17,104,654,1979,2433,2674,3076,3455,3740,3986,4223,4341,3969,2767