Year,Newfoundland and Labrador,Prince Edward Island,Nova Scotia,New Brunswick,Quebec,Ontario,Manitoba,Saskatchewan,Alberta,British Columbia,NfLInf,PriInf,NovInf,NBInf,QueInf,OntInf,ManInf,SasInf,AlbInf,BCInf
1961,5,2,28,9,63,80,17,44,25,11,40.4775,16.191,226.674,72.8595,510.0165,647.64,137.6235,356.202,202.3875,89.0505
1962,5,2,29,10,77,98,17,44,27,12,39.719,15.8876,230.3702,79.438,611.6726,778.4924,135.0446,349.5272,214.4826,95.3256
1963,4,3,30,9,94,102,22,50,28,12,31.19,23.3925,233.925,70.1775,732.965,795.345,171.545,389.875,218.33,93.57
1964,5,3,34,12,97,108,22,52,31,14,38.515,23.109,261.902,92.436,747.191,831.924,169.466,400.556,238.793,107.842
1965,6,3,34,10,94,108,23,47,32,14,44.859,22.4295,254.201,74.765,702.791,807.462,171.9595,351.3955,239.248,104.671
1966,13,3,44,14,130,144,29,62,39,20,93.8808,21.6648,317.7504,101.1024,938.808,1039.9104,209.4264,447.7392,281.6424,144.432
1967,12,4,42,15,141,161,29,53,41,19,83.3448,27.7816,291.7068,104.181,979.3014,1118.2094,201.4166,368.1062,284.7614,131.9626
1968,12,4,22,12,156,163,30,58,45,18,79.4376,26.4792,145.6356,79.4376,1032.6888,1079.0274,198.594,383.9484,297.891,119.1564
1969,12,4,17,13,163,167,34,75,49,19,76.6428,25.5476,108.5773,83.0297,1041.0647,1066.6123,217.1546,479.0175,312.9581,121.3511
1970,14,4,14,11,160,162,36,112,56,17,87.2256,24.9216,87.2256,68.5344,996.864,1009.3248,224.2944,697.8048,348.9024,105.9168
1971,12,5,14,13,156,135,33,82,44,16,71.9436,29.9765,83.9342,77.9389,935.2668,809.3655,197.8449,491.6146,263.7932,95.9248
1972,15,7,21,19,177,164,37,80,50,23,85.494,39.8972,119.6916,108.2924,1008.8292,934.7344,210.8852,455.968,284.98,131.0908
1973,18,8,27,23,234,211,45,78,58,33,93.762,41.672,140.643,119.807,1218.906,1099.099,234.405,406.302,302.122,171.897
1974,81,10,217,148,878,343,60,148,98,73,377.1117,46.557,1010.2869,689.0436,4087.7046,1596.9051,279.342,689.0436,456.2586,339.8661
1975,119,22,370,276,1507,467,93,227,127,79,502.4894,92.8972,1562.362,1165.4376,6363.4582,1971.9542,392.7018,958.5302,536.2702,333.5854
1976,55,15,312,216,1050,438,74,155,99,82,219.8295,59.9535,1247.0328,863.3304,4196.745,1750.6422,295.7706,619.5195,395.6931,327.7458
1977,59,15,312,200,943,463,68,115,98,84,216.1052,54.942,1142.7936,732.56,3454.0204,1695.8764,249.0704,421.222,358.9544,307.6752
1978,50,20,256,178,783,561,95,213,133,103,168.12,67.248,860.7744,598.5072,2632.7592,1886.3064,319.428,716.1912,447.1992,346.3272
1979,68,19,421,299,1075,695,132,273,187,153,208.76,58.33,1292.47,917.93,3300.25,2133.65,405.24,838.11,574.09,469.71
1980,157,22,857,922,1980,906,132,150,261,249,433.791,60.786,2367.891,2547.486,5470.74,2503.278,364.716,414.45,721.143,687.987