Industry,Type,1997 Q2,1997 Q3,1997 Q4,1998 Q1,1998 Q2,1998 Q3,1998 Q4,1999 Q1,1999 Q2,1999 Q3,1999 Q4,2000 Q1,2000 Q2,2000 Q3,2000 Q4,2001 Q1,2001 Q2,2001 Q3,2001 Q4,2002 Q1,2002 Q2,2002 Q3,2002 Q4,2003 Q1,2003 Q2,2003 Q3,2003 Q4,2004 Q1,2004 Q2,2004 Q3,2004 Q4,2005 Q1,2005 Q2,2005 Q3,2005 Q4,2006 Q1,2006 Q2,2006 Q3,2006 Q4,2007 Q1,2007 Q2,2007 Q3,2007 Q4,2008 Q1,2008 Q2,2008 Q3,2008 Q4,2009 Q1,2009 Q2,2009 Q3,2009 Q4,2010 Q1,2010 Q2,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3
"Agriculture, forestry, fishing and hunting",Goods-producing,0.6,7,-1.7,-2.5,0.9,3.4,0.5,-2.2,4.1,3.3,1.7,-1,-0.7,2.6,1.3,0.4,0.3,0.8,1,3.3,-0.8,-0.8,3.2,0.5,-1.4,-0.6,2.3,0.8,0.4,-0.3,1.3,0.5,1.4,-1.1,0.1,1.3,-0.9,-1.9,-0.5,2,-0.8,0.1,0.4,0.9,-1,1.4,-1.9,-2.8,-2,2.3,1.2,-1.4,1.7,0.6,1.3,3,1.8,0.7,0.7,1.4,2,-1.4,0.6,3.6,-0.5,0.7,2.5,-0.5,0,-0.4,1.4,2.8,0.9,0.9
Mining and oil and gas extraction,Goods-producing,2.4,2.1,1.1,0.2,-2.3,-3.9,-3.3,-5.6,2,3.2,3.1,6.4,4,2.8,4.6,3.4,1.4,0.2,-1.3,-2.9,-0.9,0.2,1.4,2.9,2,3.4,4,2.2,4.6,3.3,5.6,4.4,5.7,6.3,7,4,4.6,3.8,3.5,1.7,0.4,3.2,4,3.5,2.3,1.6,-0.2,-2.1,-4,-3.8,0.4,4.1,6,4.9,3.6,5.6,3.2,0.5,5.4,1.6,0.9,2.8,0.3,1.8,0.9,2.2,3.3,2.2,3.2,0.6,0.1,-3.9,-5.8,-3.2
Manufacturing,Goods-producing,2.1,1,1.7,1.6,2.3,-0.6,2.4,-0.1,2.1,1.9,2.5,3.1,1.3,1,0.3,-0.4,-0.7,-0.8,-1.3,0.7,0.9,1.8,0.4,0.4,0.5,-0.9,0.9,1.4,1.6,1.1,0.6,0.1,0.6,1.1,-0.2,-0.2,-0.5,0.6,0.4,1.1,-0.3,-1.3,-0.7,-0.8,-1.2,-2.9,-2,-5.6,-2.7,-0.7,-0.3,1.3,0.5,2.2,0.6,2.4,-0.9,-0.2,2.5,0.5,0.8,0.2,-0.3,-1.3,0.7,-0.4,0.1,-0.3,1.9,1.3,-0.2,1.3,1.2,-1.2
Construction,Goods-producing,5.7,6.4,-1.5,-1.5,1.6,1.5,2.7,0.1,2.4,2.7,2.3,1.6,2.5,2.2,1.6,2.9,1.5,0.9,1.4,1.6,-1,1.1,1.4,1.4,-1.1,2.5,2.2,1.5,2.7,1.5,2.7,3,3.7,3.2,3.4,4.3,3.5,2.9,1.6,3.7,3.3,3.5,3.2,3.6,2.6,1.8,-0.2,-3.6,-2.3,0.9,1.7,2.9,2.1,1.4,2.6,1.5,0.8,3,1.2,3.9,3.4,1.3,2.7,1.3,0.5,2.4,2.6,1.7,-0.3,2.1,-0.1,-0.9,0.7,-0.8
Utilities,Goods-producing,-1.8,0.3,1.7,6.8,-0.8,0.4,-0.3,-1.1,1.8,1.4,1.5,0.4,1.8,2.5,1.2,0.4,1.2,2.3,1.2,-0.6,-0.7,0.7,3.3,0.3,3.2,0.4,0.3,3.3,1.2,0.3,2.3,1.9,0,1.8,1.2,1.4,0.8,2.8,1.9,3.2,1.2,1.6,1.2,0.8,0.8,-0.5,1.8,1.4,0.7,0.9,1.1,1,0.8,0.7,0.4,1,1.7,2,3.5,-1.6,0.5,-1.2,-0.4,0.7,-0.7,0.3,1.3,1.3,2,0.1,0.1,1,-0.2,0.2
Trade,Services-producing,2.8,2.2,2.6,1.5,1.5,1.6,0.7,0.5,0.8,1.6,1.8,2.3,1.9,2,1.5,1.4,0.4,-0.5,0.5,1.2,1,1.7,1.2,0.9,0.5,1.1,1.4,1.6,1.6,1.5,0.6,1.3,1.8,1.8,2.3,0.6,1.4,1,1.3,1.7,1.6,1.5,0.1,0.8,1,1.1,-0.3,-1.7,-1.7,-0.5,0.8,0.6,1,0.4,1.5,1.7,0.8,0.6,1.5,1.8,1.5,0.4,0.6,0.5,0.4,0.5,1.3,0.7,1.1,1.8,1,1,0,1.7
Transportation and storage,Services-producing,2.3,4.5,-2.3,3.1,1.8,2,1.7,0.5,1.3,1,1.1,2.4,0.6,1.3,1.5,1.5,0,0.2,1,-0.1,0.1,0.5,1.4,-0.2,-0.4,0.2,0.8,2.7,2.9,2.1,0.4,-1,1.8,1,2.2,2.2,1.9,2,2.3,1.1,0.5,1.5,-0.9,0.9,0.3,0.1,-0.1,-0.9,-1.5,-1.3,0.3,0.7,1.9,2.3,1.8,2.5,-0.8,1.6,1.1,1.4,1.9,2.2,0.2,1.1,0.6,0.3,1.5,0.4,1.9,1.8,2,0.4,-0.2,0.2
Information and cultural industries,Services-producing,3.1,0.8,3.1,2.1,3.3,3.7,3.4,2.1,1.9,2.7,2.6,2.9,2.6,2.1,0.7,0.6,0.8,0.5,1,0.9,-0.6,0.5,0.9,0.6,-0.8,1.6,0.3,2.9,1.5,0,0.3,0.8,1.5,-0.3,2.2,1.7,1.5,1.6,2.4,1.1,2.1,1.6,0.3,1.3,-1,0.1,-0.4,-1.5,-0.5,0,0.5,-0.2,1.7,0.8,3.1,1.3,0.3,0.2,1,1.3,1.7,2.5,-1.8,-0.8,0.2,-0.2,1.4,1.1,-0.5,-0.6,-0.9,2.6,2,-0.2
"Finance, real estate and company management",Services-producing,1.8,2.9,1.3,0.2,1.4,-0.9,1.3,0.3,2.9,1.9,2.7,3.5,3.2,3.7,1.6,0.5,-0.8,0.4,-0.4,1.4,0.1,-0.4,1.1,0.9,-0.8,1.3,2.7,3.3,2,2.1,0.2,1.4,1.2,3.1,1.8,1.6,2.4,1.7,1.7,0.8,2.4,1.4,1.7,1.3,1.7,-0.3,-2.2,-1.8,-1.6,0.2,1.4,1.4,0.4,1.2,2.7,2.1,0.9,-0.8,0,0.2,-0.2,2.6,1.5,1.1,1.8,1.1,1.8,1.3,1.6,0.6,-1,3.7,0.6,0.5
Professional and personal services industries,Services-producing,3.8,3.8,1.8,1.9,3,3.1,3.1,0.8,2.2,2.1,2.6,3.8,3,3,2.4,0.8,0.8,0,0.3,2,1.5,0.4,1.8,0.8,0.5,1.3,1.9,2,1.8,1.5,1.1,1.5,2,2.3,1.7,1.9,1.7,2.6,1.9,2.3,1.5,1.5,2.1,3.2,1.5,0.3,-0.2,-2,-1,0.5,0.4,0.2,1.8,1.2,1.3,1.6,1.3,1.2,1.1,1.1,1.2,1.3,0.7,1.5,0.9,0.8,1.3,0.6,0.9,0.9,1.4,0.3,0.3,0.5
Educational services,Services-producing,-0.1,3,-4.7,4.1,0.2,1.1,-0.2,1.8,1.4,0.7,1.3,0.2,2.1,0.6,0.8,1.5,0.7,1.6,0.8,0.4,1.4,2.4,2.3,0.1,0.6,1.3,1.2,1.1,1.2,1.2,0.5,1.3,0.6,2.6,0,1.5,1.8,2.4,1.4,1.1,1.5,0.1,1.4,1,2.1,0.8,1.8,1,1,1.7,1.4,-0.2,0.6,0.8,1.5,1.5,-0.2,-0.4,1.2,0.9,1.7,0.5,1,0.4,1.2,-0.1,0.7,0.6,-0.1,0.7,0.8,1.5,1.3,-0.1
Health care and social assistance,Services-producing,0.3,0.6,1.3,1.6,1.4,1.6,1.7,1.7,1.9,1.6,1.8,2.2,2.6,2.7,0.3,2.1,0.4,2.2,1.5,1.4,0.9,1.6,2.5,1.2,1.4,1.6,1.8,1.5,1.3,0.1,0.2,0.9,1.6,2.2,1.6,1.4,3.7,0.2,1.7,3.8,5.1,-3.4,0.6,4.7,1.4,1.8,1.4,0.7,2.4,0.8,1.4,-0.3,0.4,1.4,1.5,1.6,0.7,0.5,0.6,0.6,1.3,1,0.6,1,0.9,0.9,1.2,1.3,0.9,0.9,1,1.4,0.6,1.3
Military,Services-producing,-0.1,4.6,-1.6,-0.4,-1.3,2.2,0.4,2.9,4.3,-0.4,0,1.2,-2.1,1.9,9.1,5.6,-5.3,0.1,2.3,1.4,1.7,-0.1,0.1,1.2,1.4,1.1,-0.7,-0.3,1.2,1.4,-0.9,19,-8.6,-1.2,4.6,-0.3,-0.7,0.1,10.1,-5.5,-0.7,1.4,1.8,7.7,-3.3,3.9,-0.3,7.2,-3.2,2.1,-0.8,-0.6,2.7,-0.2,0.7,-0.6,-2.1,1.9,0.3,0.6,7.1,-5.9,-1.3,27.1,-22.7,0.4,1.4,3.6,0.8,1.5,0.8,-1.6,-0.7,0.3
Federal government public administration excluding military,Services-producing,-2.1,0.7,1.5,-1.2,-0.9,0.9,1.8,13.9,-5.1,1.3,1.6,2.3,51.1,-15.7,-12.1,-2.3,4.4,-0.3,9.5,-1.8,7,0.6,-0.1,0.1,0.3,1.7,-0.4,-0.5,1.6,0.7,0.2,5.1,9.1,-5.4,3,-0.4,2.7,2,-1.1,2.2,0.3,1,1.9,1.1,2.4,1.7,2.1,3.9,7.8,-3,0.3,0.2,-0.6,0.9,-0.4,1,2.3,8.9,-4.4,-4,-1.8,2.8,-0.2,10.2,-6.8,1,-1.9,2,-1.6,-1,-2.7,0.2,0.5,0.5
Provincial and territorial government public administration,Services-producing,-2.3,-0.3,0.2,1.6,1.8,0.7,0.9,0.6,1.5,0.7,0.1,0.6,3.2,0.6,2,2.8,1.7,1.6,1.4,-1.1,-1.6,7.4,2.5,1.2,1,-0.2,0.5,1,-0.5,0.6,-0.2,1.5,0.1,2.7,-1.4,1.6,5.5,-1.6,2,4,0.3,2.4,1.7,2.1,2.2,1,1.1,1.7,0.5,0.8,0.3,-0.1,0.8,0.2,1.4,0.7,1,1,-0.3,1.2,1,1,0.6,0.1,0,1.1,1.4,0.9,1.1,0.8,-0.1,0.9,0.4,-0.1
Local government public administration,Services-producing,-0.7,0,-0.2,-0.5,-1,-1,-0.7,0.3,1.7,-0.3,1.9,-0.2,0.1,1.6,1,1.9,0.2,0.5,2.8,2.1,1.1,-0.5,4.1,2.1,1.4,1.3,1.3,0.7,0.9,1.5,0.5,2.1,1.4,0.7,2.2,0.9,3,-0.1,0.4,1.5,3,-0.5,4,3.4,2.3,1.2,0.9,1.9,-0.6,0.2,3.5,0,1.3,1.1,1.3,0,1.8,1.4,0.8,1.2,0.7,1.9,0.4,1,1.5,0.9,0.2,1.4,0.2,0.5,0.2,1.7,0.5,-0.8