Location,Total,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Montréal,0.413058741,0.046534411,0.019424292,0.018365473,0.028178539,0.010304758,0.009982639,0.03824667,0.013865894,0.015309247,0.019702453,0.016167192,0.023670935,0.007391964,0.013734713,0.009836674,0.010108436,0.016375546,0.011099177,0.013810198,0.009954593,0.013314888,0.013651877,0.009259259,0.007172644
Québec,0.416761042,0.048693587,0.045300113,0.016251354,0.023454158,0.010416667,0.001030928,0.020597322,0.014127144,0.016915423,0.016634051,0.020211742,0.025471698,0.009199632,0.016408387,0.007174888,0.011576135,0.01584507,0.014731369,0.012809564,0.010961214,0.010842369,0.010726073,0.014693878,0.006436042
Hamilton,0.347137637,0.017348203,0.013398295,0.012019231,0.028503563,0.012702079,0.014823261,0.012359551,0.011098779,0.013172338,0.026002167,0.015839493,0.034303534,0.006030151,0.008991009,0.011881188,0.008806262,0.000969932,0.009689922,0.011516315,0.014231499,0.006548176,0.007434944,0.010147601,0.010045662
Kitchener-Cambridge-Waterloo,0.484787018,0.014403292,0.016227181,0.017964072,0.037254902,0.015122873,0.024208566,0.014545455,0.016129032,0.024691358,0.027538726,0.020100503,0.031198686,0.007961783,0.020537125,0.020123839,0.016691958,0.007462687,0.011851852,0.01317716,0.011560694,0.01,0.016973126,0.009735744,0.008264463
Ottawa-Gatineau,0.509207366,0.035655058,0.03202562,0.030256012,0.03313253,0.010204082,0.007215007,0.026504298,0.016050244,0.015796703,0.030425963,0.024278215,0.01921845,0.008170962,0.011845387,0.015403574,0.015169903,0.022713688,0.01811806,0.019517796,0.018018018,0.011061947,0.010940919,0.011904762,0.00802139
Toronto,0.648357871,0.021399653,0.02793507,0.030848329,0.047559672,0.020064615,0.023503917,0.012703583,0.022354455,0.018719522,0.031500926,0.022754491,0.041276347,0.012229407,0.016664352,0.023084278,0.020160214,0.019630938,0.018739571,0.020788711,0.017649963,0.013341419,0.018192699,0.014223581,0.01216968
Winnipeg,0.234978541,0.006479482,0.00751073,0.010649627,0.011591149,0.001041667,0.002081165,0.007268951,0.006185567,0.007172131,0.013224822,0.006024096,0.021956088,0,0.01171875,0.005791506,0.004798464,0.010506208,0.011342155,0.014018692,0.010138249,0.011861314,0.017132552,0.009751773,0.010535558
Calgary,0.993981946,0.034232365,0.044132397,0.021133525,0.048918156,0.025112108,0.024496938,0.030742955,0.049710025,0.029992107,0.042911877,0.033798677,0.032693674,0.008258775,0.018430034,0.042225201,0.033440514,0.022401991,0.030432136,0.024217366,0.000576701,0.017291066,0.038526912,0.048554283,0.03433923
Edmonton,0.674107143,0.037037037,0.008035714,0.023029229,0.026839827,0.005902192,0.015088013,0.018166804,0.03568532,0.019577134,0.046082949,0.022760646,0.028715004,0.00418702,0.014593468,0.034246575,0.02781457,0.028994845,0.02003757,0.027624309,0.004778973,0.013674197,0.026979472,0.034837236,0.034768212
Vancouver,0.68630137,0.047345768,0.026484018,0.043149466,0.057142857,0.032271077,0.037905432,0.025978916,0.021651376,0.011853448,0.019169329,0.01985371,0.029030055,0.011284434,0.014768625,0.022962484,0.020233955,0.019832662,0.022789426,0.022875817,0.014522219,0.015173204,0.017766497,0.011637573,0.011503698