Age group,North American Aboriginal,Other North American,European,Caribbean,"Latin, Central and South American",African,Asian,Oceania
65 and over,1130,8020,35890,235,250,530,3130,435
55-64,2480,12615,50415,215,480,595,3930,555
45-54,3505,15355,60815,385,880,1040,6400,830
35-44,3635,14525,54790,710,1440,1335,7520,1025
25-34,3560,17600,56585,745,1670,1255,10240,1460
15-24,4155,18840,57055,765,1700,1555,13235,1095
Under 15,5905,25470,73980,1635,3815,3120,23805,1965
65 and over,-1625,-10000,-45885,-220,-440,-565,-3825,-525
55-64,-2885,-13235,-55190,-295,-690,-530,-5020,-680
45-54,-4060,-16955,-66820,-360,-1085,-1105,-8315,-1205
35-44,-4260,-15330,-57705,-665,-1590,-1410,-9065,-1135
25-34,-4275,-17900,-60245,-825,-2000,-1395,-10630,-1265
15-24,-4640,-18380,-54895,-785,-1705,-1420,-13020,-1230
Under 15,-6055,-24840,-69185,-1435,-3030,-3400,-22255,-1975