Hospital,Community,Latitude,Longitude,Homeless YTD,Non-Homeless YTD,Overall YTD
Abbotsford Regional Hospital,Abbotsford,49.036716,-122.311913,147,347,494
Burnaby Hospital,Burnaby,49.249729,-123.016089,51,354,405
Chilliwack General Hospital,Chilliwack,49.166913,-121.963941,61,222,283
Delta Hospital,Delta,49.085649,-123.060803,0,53,53
Eagle Ridge Hospital,Port Moody,49.285505,-122.82358,30,148,178
Fraser Canyon Hospital,Hope,49.376838,-121.424275,2,22,24
Langley Memorial Hospital,Langley City,49.095534,-122.612321,65,230,295
Mission Memorial Hospital,Mission,49.135483,-122.331929,15,64,79
Peace Arch Hospital,White Rock,49.030239,-122.792411,8,135,143
Ridge Meadows Hospital,Maple Rdige,49.215396,-122.629901,81,331,412
Royal Columbian Hospital,New Westminster,49.226374,-122.891398,39,330,369
Surrey Memorial Hospital,Surrey,49.175591,-122.842673,424,1158,1582