Name,StructureId,StructureType,InstallYear,TCACode,BrandModel,SupplierName,ContractorName,DesignerName,Cost,Comments,Area,DedicationContact,DedicationSuite,DedicationCivicNumber,DedicationStreetName,DedicationCity,DedicationProvince,DedicationPostalCode,DedicationPhone,DedicationInscription,DedicationDate,DedicationComments,OBJECTID,Latitude,Longitude,Bowl Height,Type,Style,Colour/Material,Neighbourhood
Drinking Fountain,1169,DRINKING FOUNTAIN,,,,,,,,,Terry Hughes Park,,,,,,,,,,,,86,49.22126954,-122.9111543,97,Standard,Functionalist,Black,Glenbrooke North
Drinking Fountain,730,DRINKING FOUNTAIN,,,,,,,,,Moody Park,,,,,,,,,,,,145,49.21176384,-122.9279061,96.5,Combo,Functionalist,Black,Kelvin
Drinking Fountain,1217,DRINKING FOUNTAIN,,,,,,,,blue metal,Connaught Heights Park,,,,,,,,,,,,254,49.20326978,-122.9546277,101,Standard,Functionalist,Black,Connaught Heights
Drinking Fountain,1267,DRINKING FOUNTAIN,,,,,,,,,Ryall Park,,,,,,,,,,,,304,49.18526132,-122.9423071,87,Standard,Functionalist,Dark Blue,Queensborough
Drinking Fountain,1637,DRINKING FOUNTAIN,,,,,,,,,Port Royal Community Garden,,,,,,,,,,,,469,49.19557437,-122.9256107,86,Combo,Modernist,Cement,North Arm South
Drinking Fountain,24,DRINKING FOUNTAIN,,,,,,,,at native memorial,Queen's Park,,,,,,,,,,,,608,49.21427038,-122.9050953,84.5/69.5,Standard,Memorial,Brick,Glenbrooke South
Drinking Fountain,378,DRINKING FOUNTAIN,,,,,,,,,Waterfront Esplanade,,,,,,,,,,,,615,49.19822384,-122.9221098,95,Combo,Functionalist,Dark Blue,Downtown
Drinking Fountain,1788,DRINKING FOUNTAIN,,,,,,,,blue metal,Canada Games Pool,,,,,,,,,,,,810,49.22108761,-122.9082255,96.5,Standard,Functionalist,Black,Glenbrooke South
Drinking Fountain,234,DRINKING FOUNTAIN,,,,,,,,,City Hall Grounds,,,,,,,,,"""TIM"" Timothy Jarkson Mahony FOR OVER 20 YEARS COACH AND PRACTICAL FRIEND OF THE ATHLETIC YOUTH OF NEW WESTMINSTER ERECTED BY NUMEROUS FRIENDS IN RECOGNITION OF FATHFUL, EFFICIENT, UNSELFISH DEDICATION TO SPORT 1924 ""He played the game.""",1924,,1053,49.20638993,-122.9115249,80,Standard,Ornate,Cement,Uptown
Drinking Fountain,191,DRINKING FOUNTAIN,,,,,,,,,Friendship Gardens,,,,,,,,,GYRO CLUB 1974,1974,,1127,49.20752788,-122.910596,80,Standard,Brutalist,Cement,Uptown
Drinking Fountain,133,DRINKING FOUNTAIN,,,,,,,,,Queen's Park,,,,,,,,,,,,1151,49.21557252,-122.9057232,97,Standard,Functionalist,Black,Glenbrooke South
Drinking Fountain,86,DRINKING FOUNTAIN,,,,,,,,,Queen's Park,,,,,,,,,,,,1238,49.21633266,-122.9083241,96,Combo,Functionalist,Dark Blue,Glenbrooke South
Drinking Fountain,1033,DRINKING FOUNTAIN,,,,,,,,blue metal,Sapperton Park,,,,,,,,,,,,1472,49.22776714,-122.894453,?,Standard,Functionalist,Dark Blue,Sapperton
Drinking Fountain,682,DRINKING FOUNTAIN,,,,,,,,,Moody Park,,,,,,,,,,,,1480,49.21129013,-122.9254857,80.5,Standard,Wall Mounted,Metal,Kelvin
Drinking Fountain,585,DRINKING FOUNTAIN,,,,,,,,Water Tap,Hume Park,,,,,,,,,,,,1522,49.23450504,-122.8907788,-,Dog,Functionalist,Dark Blue,Sapperton
Drinking Fountain,594,DRINKING FOUNTAIN,,,,,,,,Water Tap,Hume Park,,,,,,,,,,,,1530,49.23335396,-122.8897029,98,Standard,Functionalist,Light Blue,Sapperton
Drinking Fountain,549,DRINKING FOUNTAIN,1965,,,,,,,Concrete. This fountian is currently decomissioned.,Hume Park,,,,,,,,,,,,1718,49.23560077,-122.8917458,-,Decomissioned,-,Cement,Sapperton
Drinking Fountain,2023,DRINKING FOUNTAIN,,,,,,,,,Hume Park,,,,,,,,,,,,10505,49.23343999,-122.8907829,98,Standard,Functionalist,Dark Blue,Sapperton
Drinking Fountain,2025,DRINKING FOUNTAIN,,,,,,,,,Westburnco Sports Courts,,,,,,,,,,,,10506,49.22952978,-122.9060857,91.5,Combo,Functionalist,Dark Blue,Victory Heights
Drinking Fountain,23,DRINKING FOUNTAIN,,,,,,,,,East Columbia Street at McBride Blvd,,,,,,,,,,,,10507,49.21136691,-122.8978024,99.5,Standard,Functionalist,Black,Glenbrooke South
Drinking Fountain,2014,DRINKING FOUNTAIN,,,,,,,,,Victoria Hill,,,,,,,,,,,,10509,49.21385619,-122.8985665,89,Standard,Functionalist,Black,Glenbrooke South
Drinking Fountain,2015,DRINKING FOUNTAIN,,,,,,,,,Queen's Park,,,,,,,,,,,,10510,49.21308522,-122.9022034,-,Dog,Functionalist,Black,Glenbrooke South
Drinking Fountain,2026,DRINKING FOUNTAIN,,,,,,,,,Terry Hughes Park,,,,,,,,,,,,10511,49.22109413,-122.9130371,94,Standard,Functionalist,Dark Blue,Glenbrooke North
Drinking Fountain,2016,DRINKING FOUNTAIN,,,,,,,,,Queen's Park,,,,,,,,,,,,10512,49.21479575,-122.9048102,98.5,Standard,Functionalist,Black,Glenbrooke South
Drinking Fountain,24,DRINKING FOUNTAIN,,,,,,,,"In stadium, behind fence",Queen's Park,,,,,,,,,,,,10513,49.21360292,-122.9048197,?,Standard,Functionalist,Dark Blue,Glenbrooke South
Drinking Fountain,86,DRINKING FOUNTAIN,,,,,,,,,Queen's Park,,,,,,,,,,,,10514,49.21670086,-122.9093299,100.5,Combo,Functionalist,Dark Blue,Glenbrooke South
Drinking Fountain,730,DRINKING FOUNTAIN,,,,,,,,,Moody Park,,,,,,,,,,,,10515,49.21323116,-122.9275998,95.5,Standard,Functionalist,Black,Kelvin
Drinking Fountain,2017,DRINKING FOUNTAIN,,,,,,,,,Westminster Pier Park,,,,,,,,,"Donated by the Rotary Club Of New Westminster June 16, 2012",16-Jun-12,,10516,49.20359166,-122.9048107,100.5,Combo,Functionalist,Grey,Downtown
Drinking Fountain,2018,DRINKING FOUNTAIN,,,,,,,,,Westminster Pier Park,,,,,,,,,,,,10517,49.20374025,-122.9046106,90 // 79,Standard,Wall Mounted,Metal,Downtown
Drinking Fountain,2019,DRINKING FOUNTAIN,,,,,,,,,Westminster Pier Park,,,,,,,,,"Donated by the Rotary Club Of New Westminster June 16, 2012",16-Jun-12,,10518,49.20403344,-122.9044416,102,Combo,Functionalist,Grey,Downtown
Drinking Fountain,2029,DRINKING FOUNTAIN,,,,,,,,,Queensborough Off-Leash Dog Area,,,,,,,,,,,,10519,49.19457049,-122.93045,-,Dog,Functionalist,Dark Blue,North Arm South
Drinking Fountain,2030,DRINKING FOUNTAIN,,,,,,,,,Port Royal Park,,,,,,,,,,,,10520,49.19495114,-122.923188,89,Combo,Functionalist,Black,North Arm South
Drinking Fountain,2031,DRINKING FOUNTAIN,,,,,,,,,Queensborough Perimeter Trail,,,,,,,,,,,,10521,49.19166029,-122.9256155,86.5,Standard,Functionalist,Black,North Arm South
Drinking Fountain,2032,DRINKING FOUNTAIN,,,,,,,,,Port Royal Park,,,,,,,,,,,,10522,49.19440424,-122.9230372,90,Combo,Functionalist,Black,North Arm South
Drinking Fountain,2033,DRINKING FOUNTAIN,,,,,,,,,Queensborough Perimeter Trail,,,,,,,,,,,,10523,49.19668705,-122.9258978,98,Combo,Modernist,Cement,North Arm South
Drinking Fountain,2034,DRINKING FOUNTAIN,,,,,,,,,Thompson's Landing Park,,,,,,,,,,,,10524,49.17724334,-122.9557264,97.5,Standard,Functionalist,Black,Queensborough
Drinking Fountain,2027,DRINKING FOUNTAIN,,,,,,,,,West Side Off-Leash Dog Area,,,,,,,,,,,,10525,49.19838312,-122.9503828,-,Dog,Functionalist,Dark Blue,North Arm North
Drinking Fountain,2028,DRINKING FOUNTAIN,,,,,,,,,Grimston Park,,,,,,,,,,,,10527,49.20208244,-122.9438824,97.5,Standard,Functionalist,Black,Westend
Drinking Fountain,2020,DRINKING FOUNTAIN,,,,,,,,,Downtown Dog Off-Leash Area,,,,,,,,,,,,10528,49.20192214,-122.9149603,-,Dog,Functionalist,Dark Blue,Downtown
Drinking Fountain,2021,DRINKING FOUNTAIN,,,,,,,,,Royal Ave at Columbia Street,,,,,,,,,,,,10529,49.20043808,-122.9195047,79,Standard,Brutalist,Cement,Downtown
Drinking Fountain,2024,DRINKING FOUNTAIN,,,,,,,,,Mercer Stadium Park,,,,,,,,,,,,10530,49.21779866,-122.9265095,105.5,Tap,Wall Mounted,Metal,Kelvin
Drinking Fountain,2022,DRINKING FOUNTAIN,,,,,,,,,Hume Park,,,,,,,,,,,,10532,49.23547,-122.8914287,96.5,Standard,Functionalist,Black,Sapperton
Drinking Fountain,9000,DRINKING FOUNTAIN,,,,,,,,,Moody Park,,,,,,,,,,,,99000,49.211044,-122.925013,-,Dog,Basic,Black,Kelvin
Drinking Fountain,9001,DRINKING FOUNTAIN,,,,,,,,,Old Schoolhouse Park,,,,,,,,,,,,99001,49.191133,-122.934228,97.5,Standard,Functionalist,Black,Queensborough
Drinking Fountain,9002,DRINKING FOUNTAIN,,,,,,,,,Sukh Sagar Park,,,,,,,,,,,,99002,49.189366,-122.939796,102,Standard,Functionalist,Black,Queensborough