Election,General Election,Days after dissolution,Election Campaign,Voting and Campaigning,Dissolution of Previous Parliament,Writs Issued,Election Day(s),finalElectionDay,dissolutionDays,writDays
42,42nd,0,78,0,2015-08-02,2015-08-02,2015-10-19,n/a,78,78
41,41st,0,37,0,2011-03-26,2011-03-26,2011-05-02,n/a,37,37
40,40th,0,37,0,2008-09-07,2008-09-07,2008-10-14,n/a,37,37
39,39th,0,55,0,2005-11-29,2005-11-29,2006-01-23,n/a,55,55
38,38th,0,36,0,2004-05-23,2004-05-23,2004-06-28,n/a,36,36
37,37th,0,36,0,2000-10-22,2000-10-22,2000-11-27,n/a,36,36
36,36th,0,36,0,1997-04-27,1997-04-27,1997-06-02,n/a,36,36
35,35th,0,47,0,1993-09-08,1993-09-08,1993-10-25,n/a,47,47
34,34th,0,51,0,1988-10-01,1988-10-01,1988-11-21,n/a,51,51
33,33rd,0,57,0,1984-07-09,1984-07-09,1984-09-04,n/a,57,57
32,32nd,0,66,0,1979-12-14,1979-12-14,1980-02-18,n/a,66,66
31,31st,0,57,0,1979-03-26,1979-03-26,1979-05-22,n/a,57,57
30,30th,0,60,0,1974-05-09,1974-05-09,1974-07-08,n/a,60,60
29,29th,0,59,0,1972-09-01,1972-09-01,1972-10-30,n/a,59,59
28,28th,0,63,0,1968-04-23,1968-04-23,1968-06-25,n/a,63,63
27,27th,0,61,0,1965-09-08,1965-09-08,1965-11-08,n/a,61,61
26,26th,0,61,0,1963-02-06,1963-02-06,1963-04-08,n/a,61,61
25,25th,0,60,0,1962-04-19,1962-04-19,1962-06-18,n/a,60,60
24,24th,0,58,0,1958-02-01,1958-02-01,1958-03-31,n/a,58,58
23,23rd,0,59,0,1957-04-12,1957-04-12,1957-06-10,n/a,59,59
22,22nd,0,58,0,1953-06-13,1953-06-13,1953-08-10,n/a,58,58
21,21st,0,58,0,1949-04-30,1949-04-30,1949-06-27,n/a,58,58
20,20th,0,56,0,1945-04-16,1945-04-16,1945-06-11,n/a,56,56
19,19th,2,59,0,1940-01-25,1940-01-27,1940-03-26,n/a,61,59
18,18th,0,60,0,1935-08-15,1935-08-15,1935-10-14,n/a,60,60
17,17th,0,59,0,1930-05-30,1930-05-30,1930-07-28,n/a,59,59
16,16th,18,56,0,1926-07-02,1926-07-20,1926-09-14,n/a,74,56
15,15th,0,54,0,1925-09-05,1925-09-05,1925-10-29,n/a,54,54
14,14th,4,59,0,1921-10-04,1921-10-08,1921-12-06,n/a,63,59
13,13th,25,47,0,1917-10-06,1917-10-31,1917-12-17,n/a,72,47
12,12th,5,49,0,1911-07-29,1911-08-03,1911-09-21,n/a,54,49
11,11th,1,38,0,1908-09-17,1908-09-18,1908-10-26,n/a,39,38
10,10th,0,35,0,1904-09-29,1904-09-29,1904-11-03,n/a,35,35
9,9th,0,29,0,1900-10-09,1900-10-09,1900-11-07,n/a,29,29
8,8th,0,60,0,1896-04-24,1896-04-24,1896-06-23,n/a,60,60
7,7th,1,29,0,1891-02-03,1891-02-04,1891-03-05,n/a,30,29
6,6th,2,36,0,1887-01-15,1887-01-17,1887-02-22,n/a,38,36
5,5th,0,33,0,1882-05-18,1882-05-18,1882-06-20,n/a,33,33
4,4th,0,31,0,1878-08-17,1878-08-17,1878-09-17,n/a,31,31
3,3rd,0,20,0,1874-01-02,1874-01-02,1874-01-22,n/a,20,20
2,2nd,7,5,84,1872-07-08,1872-07-15,1872-07-20,1872-10-12,12-96,5-89
1,1st,0,1,44,n/a,1867-08-06,1867-08-07,1867-09-20,0,1-45