General Election,Days after dissolution,Election Campaign,Voting and Campaigning
42,0,78,0
41,0,37,0
40,0,37,0
39,0,55,0
38,0,36,0
37,0,36,0
36,0,36,0
35,0,47,0
34,0,51,0
33,0,57,0
32,0,66,0
31,0,57,0
30,0,60,0
29,0,59,0
28,0,63,0
27,0,61,0
26,0,61,0
25,0,60,0
24,0,58,0
23,0,59,0
22,0,58,0
21,0,58,0
20,0,56,0
19,2,59,0
18,0,60,0
17,0,59,0
16,18,56,0
15,0,54,0
14,4,59,0
13,25,47,0
12,5,49,0
11,1,38,0
10,0,35,0
9,0,29,0
8,0,60,0
7,1,29,0
6,2,36,0
5,0,33,0
4,0,31,0
3,0,20,0
2,7,5,84
1,0,1,44